Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P3         PHOENIX_PTSA05_18       86.25mm           5mm       107.5mm         2.5mm       107.5mm         2.5mm  T        180.00 Header 18      
P2         PHOENIX_SMKDSN8       42.72mm        6.25mm        60.5mm        6.25mm        60.5mm        6.25mm  T        180.00 Header 8       
P1         PHOENIX_PTSA05_36       66.25mm          43mm        22.5mm        45.5mm        22.5mm        45.5mm  T        360.00 Header 36      
C1         C_pol8x12mm            4.25mm       15.75mm           6mm       15.75mm           6mm       15.75mm  T        270.00 C_pol          
C2         C_pol8x12mm            4.25mm          24mm           6mm          24mm           6mm          24mm  T        270.00 C_pol          
C3         0402_                   110mm       29.25mm         110mm       29.25mm         110mm       28.75mm  T        360.00 1u             
C4         0402_                   110mm       31.75mm         110mm       31.75mm         110mm       32.25mm  T        180.00 1u             
C5         0402_                  9.75mm        34.5mm        9.75mm        34.5mm        9.75mm          35mm  T        180.00 1u             
C6         0402_                  9.75mm          32mm        9.75mm          32mm        9.75mm        31.5mm  T        360.00 1u             
C7         0402_                 80.25mm       26.75mm       80.25mm       26.75mm       79.75mm       26.75mm  T        270.00 100n           
C8         0402_                 82.25mm       26.75mm       82.25mm       26.75mm       81.75mm       26.75mm  T        270.00 100n           
C9         0603_                 49.25mm        34.5mm       49.25mm        34.5mm        48.4mm        34.5mm  B         90.00 68n            
C10        0603_                 41.75mm        34.5mm       41.75mm        34.5mm        40.9mm        34.5mm  B         90.00 68n            
C11        0603_                 34.25mm        34.5mm       34.25mm        34.5mm        33.4mm        34.5mm  B         90.00 68n            
C12        0603_                 26.75mm        34.5mm       26.75mm        34.5mm        25.9mm        34.5mm  B         90.00 68n            
C13        0402_                 92.75mm       26.75mm       92.75mm       26.75mm       92.25mm       26.75mm  T        270.00 100n           
C14        0402_                 94.75mm       26.75mm       94.75mm       26.75mm       94.25mm       26.75mm  T        270.00 100n           
C15        0603_                 79.25mm        34.5mm       79.25mm        34.5mm        78.4mm        34.5mm  B         90.00 68n            
C16        0603_                 71.75mm        34.5mm       71.75mm        34.5mm        70.9mm        34.5mm  B         90.00 68n            
C17        0603_                 64.25mm        34.5mm       64.25mm        34.5mm        63.4mm        34.5mm  B         90.00 68n            
C18        0603_                 56.75mm        34.5mm       56.75mm        34.5mm        55.9mm        34.5mm  B         90.00 68n            
C19        0603_                 94.25mm        34.5mm       94.25mm        34.5mm        93.4mm        34.5mm  B         90.00 68n            
C20        0603_                 86.75mm        34.5mm       86.75mm        34.5mm        85.9mm        34.5mm  B         90.00 68n            
C21        0402_                   108mm       20.25mm         108mm       20.25mm       107.5mm       20.25mm  T        270.00 1u             
C22        0402_                   108mm       25.75mm         108mm       25.75mm       107.5mm       25.75mm  T        270.00 1u             
C23        0402_                   102mm        24.5mm         102mm        24.5mm       102.5mm        24.5mm  T         90.00 1u             
C24        0402_                 106.5mm       19.75mm       106.5mm       19.75mm       106.5mm       19.25mm  T          0.00 100n           
C25        0402_                 27.25mm       30.75mm       27.25mm       30.75mm       27.25mm       30.25mm  T          0.00 47n            
C26        0402_                    25mm        28.5mm          25mm        28.5mm        24.5mm        28.5mm  T        270.00 100n           
C27        0402_                 14.75mm       25.75mm       14.75mm       25.75mm       14.75mm       25.25mm  T        360.00 100n           
C28        0402_                 17.25mm       30.25mm       17.25mm       30.25mm       17.25mm       30.75mm  T        180.00 100n           
C29        0402_                 36.25mm       30.75mm       36.25mm       30.75mm       36.25mm       30.25mm  T          0.00 47n            
C30        0402_                    34mm        28.5mm          34mm        28.5mm        33.5mm        28.5mm  T        270.00 100n           
C31        0402_                 10.75mm          32mm       10.75mm          32mm       10.75mm        31.5mm  T        360.00 100n           
C32        0402_                 17.25mm       35.25mm       17.25mm       35.25mm       17.25mm       35.75mm  T        180.00 100n           
C33        0402_                 16.75mm       36.75mm       16.75mm       36.75mm       17.25mm       36.75mm  T         90.00 100n           
C34        0402_                 68.75mm       26.75mm       68.75mm       26.75mm       69.25mm       26.75mm  T         90.00 100n           
C35        0402_                 70.75mm       26.75mm       70.75mm       26.75mm       70.25mm       26.75mm  T        270.00 100n           
C36        0402_                 23.25mm        18.5mm       23.25mm        18.5mm       23.75mm        18.5mm  T         90.00 100n           
C37        0603_                    72mm        16.5mm          72mm        16.5mm          72mm       17.35mm  B          0.00 68n            
C38        0603_                  69.5mm        16.5mm        69.5mm        16.5mm        69.5mm       17.35mm  B          0.00 68n            
C39        0603_                    67mm        16.5mm          67mm        16.5mm          67mm       17.35mm  B          0.00 68n            
C40        0603_                  74.5mm        16.5mm        74.5mm        16.5mm        74.5mm       17.35mm  B          0.00 68n            
D1         R_dil_vertical         9.52mm          10mm        8.25mm          10mm        8.25mm          10mm  T        360.00 Zener          
D2         SOD323                   25mm       34.75mm          25mm       34.75mm       23.89mm       34.75mm  T        270.00 1N4148         
D3         SOD323                 32.5mm       34.75mm        32.5mm       34.75mm       31.39mm       34.75mm  T        270.00 1N4148         
D4         SOD323                   40mm       34.75mm          40mm       34.75mm       38.89mm       34.75mm  T        270.00 1N4148         
D5         SOD323                 47.5mm       34.75mm        47.5mm       34.75mm       46.39mm       34.75mm  T        270.00 1N4148         
D6         SOT23                50.975mm       30.75mm          51mm       30.75mm       52.05mm       29.75mm  T        180.00 AZ23C15        
D7         SOT23                43.475mm       30.75mm        43.5mm       30.75mm       44.55mm       29.75mm  T        180.00 AZ23C15        
D8         SOD323                   55mm       34.75mm          55mm       34.75mm       53.89mm       34.75mm  T        270.00 1N4148         
D9         SOD323                 62.5mm       34.75mm        62.5mm       34.75mm       61.39mm       34.75mm  T        270.00 1N4148         
D10        SOD323                   70mm       34.75mm          70mm       34.75mm       68.89mm       34.75mm  T        270.00 1N4148         
D11        SOD323                 77.5mm       34.75mm        77.5mm       34.75mm       76.39mm       34.75mm  T        270.00 1N4148         
D12        SOT23                80.975mm       30.75mm          81mm       30.75mm       82.05mm       29.75mm  T        180.00 AZ23C15        
D13        SOT23                65.975mm       30.75mm          66mm       30.75mm       67.05mm       29.75mm  T        180.00 AZ23C15        
D14        SOD323                   85mm       34.75mm          85mm       34.75mm       83.89mm       34.75mm  T        270.00 1N4148         
D15        SOD323                 92.5mm       34.75mm        92.5mm       34.75mm       91.39mm       34.75mm  T        270.00 1N4148         
D16        SOT23                95.975mm       30.75mm          96mm       30.75mm       97.05mm       29.75mm  T        180.00 AZ23C15        
D17        SOD323               104.25mm          27mm      104.25mm          27mm      104.25mm       28.11mm  T        180.00 1N4148         
D18        SOD323               100.75mm          27mm      100.75mm          27mm      100.75mm       25.89mm  T        360.00 1N4148         
D19        0603_Pol               27.5mm       28.25mm        27.5mm       28.25mm        27.5mm        27.4mm  T          0.00 CDSU4148       
D20        0603_Pol               36.5mm       28.25mm        36.5mm       28.25mm        36.5mm        27.4mm  T          0.00 CDSU4148       
D21        DO-214AC              43.75mm        14.5mm       43.75mm        14.5mm       41.65mm        14.5mm  T        180.00 SMAJxxCA       
D22        DO-214AC                 55mm        14.5mm          55mm        14.5mm        52.9mm        14.5mm  T        180.00 SMAJxxCA       
F1         FUSE_UMT250            15.5mm        6.25mm        15.5mm        6.25mm       20.25mm        6.25mm  T        180.00 Fuse_UMT250    
L1         WURTH_7447709220       14.75mm       17.75mm       14.75mm       17.75mm       14.75mm       12.75mm  T         90.00 Inductor       
R1         0805_                  28.5mm        34.5mm        28.5mm        34.5mm       29.55mm        34.5mm  T         90.00 2k2            
R2         0805_                    36mm        34.5mm          36mm        34.5mm       37.05mm        34.5mm  T         90.00 2k2            
R3         0805_                  43.5mm        34.5mm        43.5mm        34.5mm       44.55mm        34.5mm  T         90.00 2k2            
R4         0805_                    51mm        34.5mm          51mm        34.5mm       52.05mm        34.5mm  T         90.00 2k2            
R5         0402_                  51.5mm          33mm        51.5mm          33mm          51mm          33mm  T        270.00 10k            
R6         0402_                 48.75mm       30.25mm       48.75mm       30.25mm       48.75mm       30.75mm  T        180.00 10k            
R7         0402_                 41.25mm       32.25mm       41.25mm       32.25mm       41.25mm       31.75mm  T          0.00 10k            
R8         0402_                 41.25mm       30.25mm       41.25mm       30.25mm       41.25mm       30.75mm  T        180.00 10k            
R9         0805_                  58.5mm        34.5mm        58.5mm        34.5mm       59.55mm        34.5mm  T         90.00 2k2            
R10        0805_                    66mm        34.5mm          66mm        34.5mm       67.05mm        34.5mm  T         90.00 2k2            
R11        0805_                  73.5mm        34.5mm        73.5mm        34.5mm       74.55mm        34.5mm  T         90.00 2k2            
R12        0805_                    81mm        34.5mm          81mm        34.5mm       82.05mm        34.5mm  T         90.00 2k2            
R13        0402_                  81.5mm          33mm        81.5mm          33mm          81mm          33mm  T        270.00 10k            
R14        0402_                 78.75mm       30.25mm       78.75mm       30.25mm       78.75mm       30.75mm  T        180.00 10k            
R15        0402_                  66.5mm          33mm        66.5mm          33mm          66mm          33mm  T        270.00 10k            
R16        0402_                 63.75mm       30.25mm       63.75mm       30.25mm       63.75mm       30.75mm  T        180.00 10k            
R17        0805_                  88.5mm        34.5mm        88.5mm        34.5mm       89.55mm        34.5mm  T         90.00 2k2            
R18        0805_                    96mm        34.5mm          96mm        34.5mm       97.05mm        34.5mm  T         90.00 2k2            
R19        0402_                  96.5mm          33mm        96.5mm          33mm          96mm          33mm  T        270.00 10k            
R20        0402_                 93.75mm       30.25mm       93.75mm       30.25mm       93.75mm       30.75mm  T        180.00 10k            
R21        0805_                   106mm          27mm         106mm          27mm         106mm       28.05mm  T        180.00 500R           
R22        0805_                 102.5mm          27mm       102.5mm          27mm       102.5mm       25.95mm  T        360.00 500R           
R23        0805_                    25mm          27mm          25mm          27mm       26.05mm          27mm  T         90.00 22R            
